Missing %,Mode,KNN,RF,SHD,MICE
5%,0.4219219219219219,0.5330330330330331,0.9444444444444444,0.35435435435435436,0.8576576576576576
10%,0.39564564564564564,0.5315315315315315,0.9271771771771772,0.3055555555555556,0.8075075075075075
15%,0.39269634817408705,0.5557778889444722,0.9074537268634317,0.3166583291645823,0.741670835417709
20%,0.3962476547842402,0.5774859287054409,0.8896810506566604,0.31857410881801124,0.6654409005628518
30%,0.40595297648824413,0.5540270135067534,0.783391695847924,0.3174087043521761,0.5336668334167084
40%,0.4071294559099437,0.526829268292683,0.6410881801125704,0.32138836772983115,0.4399624765478424
50%,0.40378264785349743,0.473131191834284,0.5345241669168418,0.31597117982587813,0.39813869708796157
