,Mode,KNN,RF,SHD,MICE
5%,0.930909090909091,0.9307878787878788,0.9307878787878788,0.9294545454545454,0.9299999999999999
10%,0.9318787878787879,0.9284242424242424,0.9309696969696969,0.932,0.9311515151515152
15%,0.9283030303030303,0.9280606060606061,0.9298181818181819,0.9264848484848485,0.9274545454545455
20%,0.9281818181818182,0.9245454545454546,0.9306666666666666,0.9302424242424242,0.9256969696969697
30%,0.924,0.9255151515151515,0.9244242424242424,0.9234545454545454,0.9216969696969697
40%,0.9152727272727272,0.9188484848484848,0.9214545454545455,0.9203636363636363,0.9158181818181818
50%,0.9138181818181819,0.9163030303030302,0.906,0.9166666666666666,0.9155151515151515
