,Mode,KNN,RF,SHD,MICE
5%,0.9112121212121213,0.9116969696969698,0.9125454545454545,0.9148484848484849,0.9123030303030303
10%,0.9074545454545454,0.9084242424242424,0.9128484848484849,0.9144242424242425,0.9126666666666666
15%,0.9047272727272727,0.9070909090909092,0.9101818181818182,0.9156969696969697,0.9110303030303031
20%,0.9030909090909092,0.9051515151515152,0.9093939393939394,0.9072727272727273,0.9063030303030303
30%,0.903030303030303,0.907939393939394,0.9055757575757576,0.9074545454545455,0.9044242424242425
40%,0.9007878787878787,0.9027272727272727,0.9036969696969697,0.9088484848484848,0.9093939393939394
50%,0.8978787878787878,0.8954545454545454,0.8935757575757576,0.9046666666666666,0.9029090909090909
