,Mode,KNN,RF,SHD,MICE
5%,0.7569090909090909,0.7583636363636364,0.7577878787878787,0.7556969696969696,0.756969696969697
10%,0.7591515151515151,0.7612727272727272,0.7566666666666667,0.7615151515151516,0.7612424242424243
15%,0.7571212121212121,0.7597575757575757,0.758909090909091,0.7598181818181818,0.7592121212121211
20%,0.7568484848484849,0.7609090909090909,0.7577575757575757,0.7575151515151515,0.7561818181818182
30%,0.7517575757575757,0.7613939393939394,0.7533333333333333,0.7380606060606061,0.754969696969697
40%,0.7569090909090909,0.7616666666666667,0.7597575757575757,0.7629999999999999,0.7632121212121211
50%,0.7507272727272727,0.7512727272727273,0.7563636363636363,0.7647878787878788,0.7594545454545455
