,Mode,KNN,RF,SHD,MICE
5%,0.9995151515151515,1.0,0.9996363636363635,1.0,1.0
10%,0.9992727272727273,0.9996363636363637,0.997090909090909,0.9977575757575757,0.9992727272727273
15%,0.9913333333333334,0.9978787878787879,0.997030303030303,0.9924242424242424,0.9971515151515151
20%,0.9899393939393939,0.9905454545454546,0.9960606060606061,0.9956969696969697,0.9896060606060606
30%,0.9783333333333333,0.9871818181818182,0.9908484848484849,0.9754545454545455,0.9836969696969696
40%,0.9725151515151516,0.9766666666666667,0.9779999999999999,0.9622727272727273,0.971
50%,0.9492727272727273,0.9595454545454546,0.9580000000000001,0.9512424242424242,0.9653939393939394
